ID,route_id,vehicle_number,vehicle_code,vehicle_total_weight_kg,vehicle_total_volume_m3,vehicle_fixed_cost_km,vehicle_variable_cost_km,vehicle_available_time_from_min,vehicle_available_time_to_min,result_vehicle_total_driving_time_min,result_vehicle_total_delivery_time_min,result_vehicle_total_active_time_min,result_vehicle_driving_weight_kg,result_vehicle_driving_volume_m3,result_vehicle_final_cost_km,weightusage,volumeusage
31,2958047,7,O78-K-074,2062,5.0,0,0.2,420,1080,155.122,322.92,478.042,1385.0363745,4.677736,27.4614,67.17,93.55
32,2958047,8,T14-E-264,1754,8.02,0,0.19,420,1080,166.969,351.28,518.249,1750.190955,7.879172,28.78082,99.78,98.24
33,2970877,1,J92-T-826,1058,3.15,0,0.2,420,1080,57.244,156.92,214.164,769.127318,3.084816,9.2656,72.7,97.93
34,2970877,2,A69-O-649,1216,4.0,0,0.19,420,1080,60.203,139.3,199.503,448.682277,1.561108,9.16275,36.9,39.03
35,2970877,3,875-M-523,12509,20.84,0,0.51,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2970877,4,O76-T-703,7271,15.5,0,0.22,420,1080,83.5779999999998,211.62,295.198,1351.112947,15.459852,14.91204,18.58,99.74
37,2970877,5,O76-T-702,7271,15.5,0,0.22,420,1080,105.215,373.27,478.485,2339.7288845,10.780932,19.78834,32.18,69.55
38,2970877,6,A08-J-522,2062,5.5,0,0.19,420,1080,335.148,217.33,552.478,1235.317541,3.552892,58.57016,59.91,64.6
39,2970877,7,O78-K-074,2062,5.0,0,0.2,420,1080,100.342,317.03,417.372,1197.719717,4.893268,15.2338,58.09,97.87
40,2970877,8,T14-E-264,1754,8.02,0,0.19,420,1080,280.06,281.0,561.06,1494.778705,5.823508,49.84099,85.22,72.61
41,2990001,1,J92-T-826,1058,3.15,0,0.2,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2990001,2,A69-O-649,1216,4.0,0,0.19,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2990001,3,875-M-523,12509,20.84,0,0.51,420,1080,43.857,77.23,121.087,862.155,9.0,21.08187,6.89,43.19
44,2990001,4,O76-T-703,7271,15.5,0,0.22,420,1080,170.676,269.24,439.916,1717.214485,8.88512,32.29952,23.62,57.32
45,2990001,5,O76-T-702,7271,15.5,0,0.22,420,1080,75.7019999999999,308.02,383.722,2263.7247665,10.428048,12.7138,31.13,67.28
46,2990001,6,A08-J-522,2062,5.5,0,0.19,420,1080,188.342,353.32,541.662,1227.8862345,4.82774,31.92361,59.55,87.78
47,2990001,7,O78-K-074,2062,5.0,0,0.2,420,1080,153.615,380.57,534.185,974.1803595,3.972072,19.703,47.24,79.44
48,2990001,8,T14-E-264,1754,8.02,0,0.19,420,1080,197.835,350.38,548.215,1140.789345,6.435828,32.39139,65.04,80.25
49,3005971,1,J92-T-826,1058,3.15,0,0.2,420,1080,49.1259999999999,52.16,101.286,210.257498,0.756916,8.7248,19.87,24.03
50,3005971,2,A69-O-649,1216,3.15,0,0.19,420,1080,91.2230000000001,205.77,296.993,778.0121,2.901156,13.80844,63.98,92.1
51,3005971,3,875-M-523,12509,20.84,0,0.35,420,1080,235.62,373.8,609.42,4205.9117,20.396056,72.93685,33.62,97.87
52,3005971,4,O76-T-703,7271,15.5,0,0.22,420,1080,270.534,339.4,609.934,2542.071,9.556,55.72468,34.96,61.65
53,3005971,6,O78-K-074,2062,5.0,0,0.2,420,1080,88.253,197.11,285.363,967.919062,3.9918,14.2308,46.94,79.84
54,3005971,7,T14-E-264,1754,8.02,0,0.19,420,1080,354.134,197.5,551.634,1091.2881225,7.5515,60.15609,62.22,94.16
55,2604001,1,J92-T-826,1058,3.15,0,0.21,420,1080,68.5080000000001,153.11,221.618,709.072,2.870584,10.65351,67.02,91.13
56,2604001,2,A69-O-649,1216,3.15,0,0.19,420,1080,146.663,284.92,431.583,599.902525,3.04258,22.20074,49.33,96.59
57,2604001,3,875-M-523,12509,20.84,0,0.51,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2604001,4,O76-T-703,7271,15.5,0,0.3,420,1080,170.522,370.54,541.062,2536.0365,11.803296,46.5183,34.88,76.15
59,2604001,5,O76-T-702,7271,15.5,0,0.3,420,1080,124.267,401.952,526.219,2362.8123,14.89374,33.546,32.5,96.09
60,2604001,6,A08-J-522,2062,5.5,0,0.19,420,1080,160.688,318.66,479.348,1056.67073,5.453676,27.2441,51.24,99.16
61,2604001,7,O78-K-074,2062,5.0,0,0.2,420,1080,79.552,139.71,219.262,514.272641,2.578232,14.327,24.94,51.56
62,3016355,1,J92-T-826,1058,3.15,0,0.23,420,1080,71.1370000000001,217.82,288.957,498.519,2.682,13.46374,47.12,85.14
63,3016355,2,A69-O-649,1216,3.15,0,0.19,420,1080,279.906,183.42,463.326,670.878,3.154,45.37276,55.17,100.13
64,3016355,3,875-M-523,12509,20.84,0,0.51,420,1080,75.834,169.89,245.724,4496.475,17.686,31.08093,35.95,84.87
65,3016355,4,O76-T-703,7271,15.5,0,0.35,420,1080,164.945,338.88,503.825,1626.342,10.874,51.12555,22.37,70.15
66,3016355,5,O76-T-702,7271,15.5,0,0.35,420,1080,133.529,367.58,501.109,2640.13,13.757,41.27585,36.31,88.75
67,3016355,6,A08-J-522,2062,5.5,0,0.19,420,1080,308.561,240.54,549.101,850.012,4.955,55.10437,41.22,90.09
68,3016355,7,O78-K-074,2062,5.0,0,0.2,420,1080,149.014,345.56,494.574,810.086,4.971,16.833,39.29,99.42
69,3027038,1,J92-T-826,1058,3.15,0,0.2,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,3027038,2,A69-O-649,1216,4.0,0,0.19,420,1080,113.201,209.33,322.531,877.73992,3.591892,19.8854,72.18,89.8
71,3027038,3,875-M-523,12509,20.84,0,0.51,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,3027038,4,O76-T-703,7271,15.5,0,0.2,420,1080,168.926999999999,360.61,529.536999999999,1996.00705,6.743452,30.3872,27.45,43.51
73,3027038,5,O76-T-702,7271,15.5,0,0.2,420,1080,143.22,431.9,575.12,1474.517,6.291316,24.6816,20.28,40.59
74,3027038,6,A08-J-522,2062,5.5,0,0.19,420,1080,168.19,306.0,474.19,1253.54,5.214616,26.30797,60.79,94.81
75,3027038,7,O78-K-074,2062,5.0,0,0.2,420,1080,91.8059999999999,261.97,353.776,1170.352994,4.922528,14.8716,56.76,98.45
76,3044702,1,J92-T-826,1058,3.15,0,0.15,588,1080,57.25,273.136363636364,330.386363636364,550.821103318182,2.816028,7.3482,52.06,89.4
77,3044702,2,A69-O-649,1216,2.8,0,0.14,360,1080,263.16,258.5,521.66,662.020901,2.746696,38.23204,54.44,98.1
78,3044702,3,E81-M-661,3485,4.9,0,0.19,360,1080,120.89,306.0,426.89,1126.0156175,3.922452,19.26562,32.31,80.05
79,3044702,4,875-M-523,12509,14.84,0,0.51,360,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,3044702,5,O76-T-703,7271,10.5,0,0.32,360,1080,262.38,309.5,571.88,2251.506,10.353004,86.6896,30.97,98.6
81,3044702,6,O76-T-702,7271,10.5,0,0.32,360,1080,96.6799999999999,384.0,480.68,1618.1778825,6.5836,29.21472,22.26,62.7
82,3044702,7,A08-J-522,2062,4.683,0,0.2,360,1080,47.05,169.0,216.05,541.304198,2.957352,8.882,26.25,63.15
